SubclassDescription,Model,Serial_Correlation_P_Value,No_Serial_Correlation,ARCH_LM_P_Value,No_ARCH_Effects,Normality_P_Value,Skewness,Kurtosis,Normal_Residuals,CUSUM_P_Value,Stable_Parameters,Passed_Core_Diagnostics,Passed_All_Diagnostics
Baby food,Symmetric level,0.002989939055926218,False,0.9993782282687045,True,2.352715200013452e-82,1.5797272319416762,12.008231064626793,False,0.3796197105702378,True,False,False
Bread and bakery products,Symmetric level,0.3658723229975678,True,0.13663320739225096,True,0.01974937630439985,0.57849587657824,3.7511475387848523,False,0.7180028873197644,True,True,False
Breakfast cereals,Symmetric level,0.17010888538113647,True,0.4575246343715018,True,8.251456320698748e-12,0.028189312081085015,6.517166604102117,False,0.6974603597809171,True,True,False
Cereals,Symmetric level,0.25380709766018333,True,0.151728241997694,True,0.30271052907799967,-0.3411193102384918,3.3375409205756226,True,0.6087787507226993,True,True,True
Cheese,Symmetric level,0.5203729681448096,True,0.5196593413587567,True,0.8886443746338365,0.025859814530448957,2.766407628318745,True,0.7562948545880172,True,True,True
"Chocolate, cocoa, and cocoa-based food products",Symmetric level,0.13414904313284748,True,0.6476564859507892,True,0.6255959782642948,0.12753976489279675,3.402930349610231,True,0.7050041993388005,True,True,True
Coffee and coffee substitutes,Symmetric level,0.07191269206766215,True,0.2925959564796305,True,7.898719953874799e-11,1.0056802710550108,5.689395078553835,False,0.6296735376315803,True,True,False
"Dates, figs and tropical fruits, fresh",Symmetric level,0.009029343918819077,False,0.5932603472256321,True,0.3442666552566976,-0.2967643986956794,3.40587719743735,True,0.9434237804200228,True,False,False
Eggs,Symmetric level,0.0655065778658278,True,0.9679820475894905,True,4.07549451972445e-201,2.129814221018779,17.33777321818133,False,0.9481526175771798,True,True,False
Fish,Symmetric level,0.13351838290380755,True,0.2524970257647351,True,0.2544392386237471,0.40573609520237786,3.0715661785655057,True,0.7636999577964829,True,True,True
Fish preparations,Symmetric level,0.21024282962879298,True,0.09272092451111988,True,0.22288995522972704,-0.39052771095802863,3.343143391645072,True,0.8017030808742944,True,True,True
Flour of cereals,Symmetric level,0.14472506146304176,True,0.3192476088433464,True,0.07262688545582922,-0.035445715067835365,4.125366970603511,True,0.6400139474577912,True,True,True
Fruit and nuts ground and other preparations,Symmetric level,0.15191557988126053,True,0.9769108132026039,True,2.1646117969677117e-05,0.2380744042277182,5.231790062580343,False,0.8441956769743193,True,True,False
Fruit and vegetable juices,Symmetric level,0.10103107232070899,True,0.9916917293163598,True,0.0,-2.3973725820187175,21.588596996618776,False,0.5869620428107796,True,True,False
"Fruit-bearing vegetables, fresh or chilled",Symmetric level,0.0012433297584135683,False,0.6130404487572281,True,0.9300579501164719,0.04650807949420676,2.837200817822807,True,0.7358601087352481,True,False,False
"Ice, ice cream and sorbet",Symmetric level,0.25947940592550656,True,0.9430421536119376,True,0.7599173573259603,-0.12044354699320643,3.274019018029206,True,0.2691785532164384,True,True,True
"Leafy or stem vegetables, fresh or chilled",Symmetric level,0.8804877191613971,True,0.3739669339926082,True,0.8504396171361039,-0.052378874586366385,2.7400535179388474,True,0.8997611897273349,True,True,True
"Macaroni, noodles, couscous and similar pasta products",Symmetric level,0.0039981571373780035,False,0.329621382119846,True,0.033100584205114095,0.485655941180539,3.84203084320416,False,0.49035393970393143,True,False,False
Margarine and similar preparations,Symmetric level,0.06963267392188568,True,0.2264302587668673,True,0.14217349611220062,0.39513537357254497,3.566806456249385,True,0.29723007862880635,True,True,True
"Meat , dried, salted, in brine or smoked",Symmetric level,0.269905986187275,True,0.64916264232843,True,0.5764880093446377,0.17338583975514876,3.3831505002298456,True,0.7015533703275159,True,True,True
"Meat, fresh, chilled or frozen",Symmetric level,0.26922209692910787,True,0.07494114111406973,True,0.0001513536556822914,0.8757672564567317,4.093984210673939,False,0.9373380971945745,True,True,False
"Meat, offal, blood and other parts of slaughtered animals preparations",Symmetric level,0.5680470147721237,True,0.5630966880878616,True,1.0554641129593696e-54,1.4207630817665091,10.223947737126823,False,0.6381879186918281,True,True,False
Milk,Symmetric level,0.008252009463235356,False,0.003993874814895914,False,0.05542705607706588,0.5524559701869328,3.4262449066360556,True,0.4176032071596958,True,False,False
Milk-based desserts and beverages,Symmetric level,0.006247413077495989,False,0.7235843273268008,True,0.28612212097527695,-0.2579323546358565,3.583602808660981,True,0.3362376063215827,True,False,False
"Nut puree, nut butter and nut pastes",Symmetric level,0.2778636456731567,True,0.7610296871523468,True,0.9569034915905029,0.051906784091824455,3.102867127972352,True,0.955881294014785,True,True,True
"Offal, blood and other parts of slaughtered animals",Symmetric level,0.32823281378064917,True,0.7236623215770128,True,2.727749889730938e-43,1.566353702062835,9.140441386006403,False,0.7134430614804881,True,True,False
Other food products n.e.c.,Symmetric level,0.010564834405063497,False,0.08738706591073045,True,1.1559959346272903e-09,0.42216376685946677,6.0437592429423885,False,0.6549688963191225,True,False,False
"Other fruits, fresh",Symmetric level,0.375749900639166,True,0.6992947987957925,True,4.389323176009385e-05,0.20127400545467058,5.168594888225943,False,0.6515998021180762,True,True,False
Other milk and cream,Symmetric level,0.06120331564371636,True,0.8101801426559311,True,0.5687920461183977,-0.003943296825011339,3.5229807807313107,True,0.4106555989017254,True,True,True
Other non-alcoholic beverages,Symmetric level,0.0316114514184041,False,0.29113390681011536,True,0.2836266215821678,0.39016701429035866,3.0451080935865313,True,0.8167664164833616,True,False,False
"Other sugar, confectionery and dessert",Symmetric level,0.1796707437200673,True,0.9971859676468645,True,8.864641830473363e-101,1.8284894370303584,12.91591781794778,False,0.9813011212658866,True,True,False
"Other vegetables, fresh or chilled",Symmetric level,0.6884571570970365,True,0.14928798693756945,True,7.44638677531419e-07,0.4590394885968824,5.4491878087843855,False,0.6929426554497777,True,True,False
Pulses,Symmetric level,0.36777705531694166,True,0.9218483386574878,True,0.3704503050551728,0.023692801463740813,3.692261938411733,True,0.4488449353668778,True,True,True
Ready-made food,Symmetric level,0.24005752940350736,True,0.4317350123937241,True,0.29489629371689385,0.3838330364220454,3.0524649720619608,True,0.4039450221803749,True,True,True
"Salt, condiments and sauces",Symmetric level,0.15664554430468905,True,0.9642567667861695,True,0.022884649898297936,0.36952618520482644,4.133672966684398,False,0.8445598415528365,True,True,False
Soft drinks,Symmetric level,0.09604383853080264,True,0.9185086697149842,True,1.8689073226933892e-28,1.5312972974705148,7.645067217646098,False,0.9728583858568542,True,True,False
"Spices, culinary herbs and seeds",Symmetric level,0.46006789247663926,True,0.9068183621342737,True,0.009123042870259487,0.05555847761507983,4.504979410454355,False,0.39607158925349323,True,True,False
"Stone fruits and pome fruits, fresh",Symmetric level,0.05881309424380853,True,0.016079533782948276,False,0.004590048644264823,0.40776150557853336,4.394733250442948,False,0.7153135644670607,True,False,False
Sugar,Symmetric level,0.6937981088538817,True,0.9507881246741035,True,3.4344073461617746e-42,1.4782534305132606,9.127792843599979,False,0.9666690170605502,True,True,False
Tea and other plant products for infusion,Symmetric level,0.6873019912501668,True,0.10905594071232978,True,0.3050005986362401,0.3246961481182282,3.3924523881018773,True,0.663436436727422,True,True,True
Tubers,Symmetric level,0.008899604997248897,False,0.3664591330583104,True,7.347072409845837e-05,0.35996031477972523,5.0240564442834525,False,0.6641730956361543,True,False,False
