SubclassDescription,Model,Bounds_Statistic,Lower_Bound_5pct,Upper_Bound_5pct,Lower_P_Value,Upper_P_Value,Decision,Observations,Exact_Decision,Final_Decision,Decision_Method
Baby food,ARDL,0.9401533229048917,3.8022629,4.8116858,0.7211009363103336,0.8737653195239794,No cointegration,99,,No cointegration,Asymptotic
Bread and bakery products,ARDL,0.5681161592963265,3.8022629,4.8116858,0.8640230415435426,0.9502362619101719,No cointegration,99,,No cointegration,Asymptotic
Breakfast cereals,ARDL,0.3746190389661494,3.8022629,4.8116858,0.9279659845479729,0.9763437606822685,No cointegration,99,,No cointegration,Asymptotic
Cereals,ARDL,5.2539065013361474,3.8022629,4.8116858,0.008950070868593674,0.03134278168375715,Cointegration,99,Inconclusive,Inconclusive,Sample-specific
Cheese,ARDL,2.0810910727577827,3.8022629,4.8116858,0.30097682430734085,0.518047560591816,No cointegration,99,,No cointegration,Asymptotic
"Chocolate, cocoa, and cocoa-based food products",ARDL,7.502410626276004,3.8022629,4.8116858,0.0005850506772703268,0.002639877338976304,Cointegration,99,Cointegration,Cointegration,Sample-specific
Coffee and coffee substitutes,ARDL,4.413718084014299,3.8022629,4.8116858,0.024300879056912472,0.07396889146746399,Inconclusive,99,No cointegration,No cointegration,Sample-specific
"Dates, figs and tropical fruits, fresh",ARDL,4.3800684990412595,3.8022629,4.8116858,0.025279339743781715,0.07646764063319256,Inconclusive,99,No cointegration,No cointegration,Sample-specific
Eggs,ARDL,3.284518588764063,3.8022629,4.8116858,0.08813664486659545,0.210996786240905,No cointegration,99,,No cointegration,Asymptotic
Fish,ARDL,0.24161470567073412,3.8022629,4.8116858,0.9633874790119036,0.9886108193841159,No cointegration,99,,No cointegration,Asymptotic
Fish preparations,ARDL,0.0811445613863862,3.8022629,4.8116858,0.992781474326183,0.9977890826103292,No cointegration,99,,No cointegration,Asymptotic
Flour of cereals,ARDL,1.1655520877161598,3.8022629,4.8116858,0.6226940694281726,0.8138179240651714,No cointegration,99,,No cointegration,Asymptotic
Fruit and nuts ground and other preparations,ARDL,0.8843598511825816,3.8022629,4.8116858,0.743159060816647,0.8872086020230072,No cointegration,99,,No cointegration,Asymptotic
Fruit and vegetable juices,ARDL,0.021599572987472455,3.8022629,4.8116858,0.9989790922941152,0.9997941365564579,No cointegration,99,,No cointegration,Asymptotic
