SubclassDescription,Model,Effect,Unit,HAC_Long_Run_Multiplier,HAC_Standard_Error,HAC_P_Value,HAC_Lower_95pct,HAC_Upper_95pct
"Other vegetables, fresh or chilled",ARDL,Symmetric exchange-rate effect,Elasticity,1.4041188012617192,0.22611575294488045,2.0083297920865538e-08,0.9543836629903284,1.85385393953311
Yoghurt and similar products,ARDL,Symmetric exchange-rate effect,Elasticity,1.2839474226224548,0.16788298720855185,3.255138365339869e-11,0.9500349132889838,1.6178599319559257
Cereals,NARDL,Depreciation,Percent CPI response,1.3309428603673583,0.4500455121901773,0.004077872761363791,0.43532374865796464,2.2265619720767518
Cereals,NARDL,Appreciation component,Percent CPI response,1.413602973871743,0.5767714858504067,0.016430907614267735,0.26579113745827243,2.5614148102852137
"Chocolate, cocoa, and cocoa-based food products",NARDL,Depreciation,Percent CPI response,0.9573835416960006,0.5110999117422259,0.06460624674772396,-0.05935699728367361,1.9741240806756748
"Chocolate, cocoa, and cocoa-based food products",NARDL,Appreciation component,Percent CPI response,0.4652733730883682,0.6824789857613168,0.4973242823211793,-0.8923947381423656,1.822941484319102
"Dates, figs and tropical fruits, fresh",NARDL,Depreciation,Percent CPI response,0.3135117595139896,0.18937065233573785,0.10168343573747592,-0.06327643750253997,0.6902999565305191
"Dates, figs and tropical fruits, fresh",NARDL,Appreciation component,Percent CPI response,0.030170458831295398,0.26976876219573187,0.9112283625199842,-0.5065847578054498,0.5669256754680406
"Fruit-bearing vegetables, fresh or chilled",NARDL,Depreciation,Percent CPI response,0.2589918881318799,0.14152931739916788,0.07107761256761042,-0.02277133856317287,0.5407551148269327
"Fruit-bearing vegetables, fresh or chilled",NARDL,Appreciation component,Percent CPI response,-0.03934031784638548,0.19305326581702803,0.8390564591769771,-0.42367984622273985,0.3449992105299689
"Other vegetables, fresh or chilled",NARDL,Depreciation,Percent CPI response,0.7085448092691542,0.3009661941238135,0.020982817999377415,0.10971648899812736,1.307373129540181
"Other vegetables, fresh or chilled",NARDL,Appreciation component,Percent CPI response,0.40319004575064665,0.41442018710329503,0.3334986962019494,-0.42137613269323004,1.2277562241945232
Yoghurt and similar products,NARDL,Depreciation,Percent CPI response,0.5314218660812948,0.08343006504170322,1.077826637239869e-08,0.3654222067026981,0.6974215254598916
Yoghurt and similar products,NARDL,Appreciation component,Percent CPI response,0.26790320062930856,0.11474732921989937,0.022034392090188638,0.03959200902726817,0.49621439223134894
