SubclassDescription,Shock_Lag,Immediate_Depreciation,Immediate_Appreciation_Component,Depreciation_Distributed_Lag_Sum,HAC_Depreciation_Sum_P_Value,Appreciation_Distributed_Lag_Sum,HAC_Appreciation_Sum_P_Value,Multiplier_Difference,HAC_Asymmetry_F_Statistic,HAC_Asymmetry_P_Value,HAC_Raw_Short_Run_Asymmetry,HAC_Depreciation_Holm_P_Value,HAC_Depreciation_FDR_P_Value,HAC_Depreciation_Holm_Significant,HAC_Depreciation_FDR_Significant,HAC_Appreciation_Holm_P_Value,HAC_Appreciation_FDR_P_Value,HAC_Appreciation_Holm_Significant,HAC_Appreciation_FDR_Significant,HAC_Asymmetry_Holm_P_Value,HAC_Asymmetry_FDR_P_Value,HAC_Asymmetry_Holm_Significant,HAC_Asymmetry_FDR_Significant,HAC_Final_Short_Run_Asymmetry
Baby food,0,-0.03591641102538525,0.0847462723366521,-0.03591641102538525,0.5909817511542814,0.0847462723366521,0.10177918959421435,-0.12066268336203737,1.300650931118438,0.25733562436695695,False,1.0,0.8237927440332408,False,False,1.0,0.4626868955570299,False,False,1.0,0.7257811258068982,False,False,False
Bread and bakery products,0,0.07343192161901961,-0.08903645121449966,0.07343192161901961,0.014824881229294437,-0.08903645121449966,0.0026209172245971525,0.16246837283351928,10.763001611258154,0.001515226638517822,True,0.6522947740889552,0.21355089477923475,False,False,0.11794127510687186,0.06028109616573451,False,False,0.06970042537181981,0.03645629776716476,False,True,False
Breakfast cereals,0,0.0044851797664454875,-0.012352404449689559,0.0044851797664454875,0.9356603989400284,-0.012352404449689559,0.9204648984244287,0.016837584216135047,0.00982183567273031,0.9212908919535708,False,1.0,0.978190417073666,False,False,1.0,0.9204648984244287,False,False,1.0,0.9432260267305058,False,False,False
Cereals,0,-0.07842761332119733,-0.13458932732758327,-0.07842761332119733,0.4158286196108038,-0.13458932732758327,0.23618790173325296,0.05616171400638595,0.14180263731998224,0.7074681301037775,False,1.0,0.6595902242102405,False,False,1.0,0.6112754733553251,False,False,1.0,0.8626234801735159,False,False,False
Cheese,0,0.07589000755950064,0.011774194861815543,0.07589000755950064,0.08873930296427684,0.011774194861815543,0.7572878127686493,0.0641158126976851,1.024871432018117,0.3142734897277709,False,1.0,0.39196147635075734,False,False,1.0,0.9167168259831018,False,False,1.0,0.7608726593409191,False,False,False
"Chocolate, cocoa, and cocoa-based food products",0,-0.009397774965017336,0.02880082328222592,-0.009397774965017336,0.785991901079591,0.02880082328222592,0.7251440540359729,-0.038198598247243254,0.1186587411099015,0.7313546897123286,False,1.0,0.9462411435271678,False,False,1.0,0.9167168259831018,False,False,1.0,0.8626234801735159,False,False,False
Coffee and coffee substitutes,0,0.016431088287862508,0.07544224110913525,0.016431088287862508,0.836936170747721,0.07544224110913525,0.25248334769024294,-0.05901115282127274,0.3869267459414454,0.5356450394318334,False,1.0,0.9462411435271678,False,False,1.0,0.6112754733553251,False,False,1.0,0.8626234801735159,False,False,False
"Dates, figs and tropical fruits, fresh",0,-0.17469078104497363,0.4285972167008256,-0.17469078104497363,0.14261870191730613,0.4285972167008256,0.047675066764372116,-0.6032879977457992,5.497444260587444,0.021403924768797877,True,1.0,0.39196147635075734,False,False,1.0,0.36550884519351956,False,False,0.9203687650583088,0.2461451348411756,False,False,False
Eggs,0,0.05640564158104399,0.014268338246961726,0.05640564158104399,0.2976024589066594,0.014268338246961726,0.8657026903475643,0.04213730333408226,0.12203856932519343,0.7277186931155455,False,1.0,0.5704047129044305,False,False,1.0,0.9204648984244287,False,False,1.0,0.8626234801735159,False,False,False
Fish,0,-0.09645658306439124,-0.05076859346521167,-0.09645658306439124,0.03249687529249225,-0.05076859346521167,0.11064251850276803,-0.04568798959917957,0.4835351783840101,0.4887446270347675,False,1.0,0.21355089477923475,False,False,1.0,0.4626868955570299,False,False,1.0,0.8626234801735159,False,False,False
Fish preparations,0,-0.0005792027094682728,-0.17595693325812847,-0.0005792027094682728,0.9946432811369667,-0.17595693325812847,0.08944465319705788,0.1753777305486602,1.2730797511801915,0.2624020256224285,False,1.0,0.9946432811369667,False,False,1.0,0.4626868955570299,False,False,1.0,0.7257811258068982,False,False,False
Flour of cereals,0,0.2024641555178105,0.04386948863359572,0.2024641555178105,0.011431596619621148,0.04386948863359572,0.5874015427123737,0.15859466688421478,1.6650077249482358,0.20046922068510237,False,0.5258534445025729,0.21355089477923475,False,False,1.0,0.7720134561362625,False,False,1.0,0.7257811258068982,False,False,False
Fruit and nuts ground and other preparations,0,-0.05087546922504879,0.008722291420471777,-0.05087546922504879,0.3950575186822068,0.008722291420471777,0.9167719942819387,-0.05959776064552057,0.2191826062313104,0.6408759653881442,False,1.0,0.6490230664064826,False,False,1.0,0.9204648984244287,False,False,1.0,0.8626234801735159,False,False,False
Fruit and vegetable juices,1,0.04359716763002386,-0.07374747408276972,-0.13680838116745625,0.1371155669481261,0.040159104657919525,0.4773407876439274,-0.17696748582537578,3.7816961314094915,0.05524433335246677,False,1.0,0.39196147635075734,False,False,1.0,0.7720134561362625,False,False,1.0,0.3630341906019245,False,False,False
"Fruit-bearing vegetables, fresh or chilled",0,-0.025961692551146,-0.23340974158890002,-0.025961692551146,0.863959304959588,-0.23340974158890002,0.4933078321540057,0.20744804903775402,0.264788632234704,0.6082679506678088,False,1.0,0.9462411435271678,False,False,1.0,0.7720134561362625,False,False,1.0,0.8626234801735159,False,False,False
"Ice, ice cream and sorbet",0,0.014055667787634483,0.17374178922776232,0.014055667787634483,0.8461518291427181,0.17374178922776232,0.3812838400104559,-0.15968612144012784,0.41360706694303734,0.5218961360722189,False,1.0,0.9462411435271678,False,False,1.0,0.7307940266867071,False,False,1.0,0.8626234801735159,False,False,False
"Leafy or stem vegetables, fresh or chilled",0,0.17541184861338888,-0.10644795661871802,0.17541184861338888,0.11265401100606784,-0.10644795661871802,0.5333679431006457,0.2818598052321069,1.214628903893027,0.27356507701192884,False,1.0,0.39196147635075734,False,False,1.0,0.7720134561362625,False,False,1.0,0.7257811258068982,False,False,False
"Macaroni, noodles, couscous and similar pasta products",0,0.03993894506989916,0.09056836076917142,0.03993894506989916,0.3855918856872011,0.09056836076917142,0.03339584898926123,-0.05062941569927226,0.7065071540321748,0.40305007426497935,False,1.0,0.6490230664064826,False,False,1.0,0.3072418107012033,False,False,1.0,0.8061001485299587,False,False,False
Margarine and similar preparations,0,-0.009425168538071682,-0.06977959910119091,-0.009425168538071682,0.8107450185048318,-0.06977959910119091,0.14492848262454597,0.06035443056311923,0.798925842015944,0.37396852507929595,False,1.0,0.9462411435271678,False,False,1.0,0.5534261499243504,False,False,1.0,0.7819341888021643,False,False,False
"Meat , dried, salted, in brine or smoked",0,0.03844687776576223,-0.018056630445608426,0.03844687776576223,0.3617030363082257,-0.018056630445608426,0.7517121360161502,0.05650350821137065,0.5125844381615834,0.47600781416759885,False,1.0,0.6399361411607071,False,False,1.0,0.9167168259831018,False,False,1.0,0.8626234801735159,False,False,False
"Meat, fresh, chilled or frozen",0,0.040209581855492484,-0.025282879457548597,0.040209581855492484,0.154412011888255,-0.025282879457548597,0.49567455727737114,0.06549246131304108,1.4299950523532978,0.23517045174687923,False,1.0,0.39460847482554057,False,False,1.0,0.7720134561362625,False,False,1.0,0.7257811258068982,False,False,False
"Meat, offal, blood and other parts of slaughtered animals preparations",0,0.0125977949881767,-0.03293780400416002,0.0125977949881767,0.762139680051085,-0.03293780400416002,0.5848834617112445,0.04553559899233672,0.28493386533670156,0.5948952378828127,False,1.0,0.9462411435271678,False,False,1.0,0.7720134561362625,False,False,1.0,0.8626234801735159,False,False,False
Milk,1,-0.052265230837257745,0.06933069180160832,0.06093151234845051,0.1324388476084701,0.04465689477703623,0.3443471360268035,0.01627461757141428,0.09311028774961942,0.7610328870033527,False,1.0,0.39196147635075734,False,False,1.0,0.688694272053607,False,False,1.0,0.8751878200538556,False,False,False
Milk-based desserts and beverages,1,-0.0990065082803414,0.2944291713142735,-0.14955514708351714,0.129276726961856,-0.04942446959232605,0.7787276048354702,-0.10013067749119109,0.17511688016341131,0.6767250261141708,False,1.0,0.39196147635075734,False,False,1.0,0.9184992262161956,False,False,1.0,0.8626234801735159,False,False,False
"Nut puree, nut butter and nut pastes",0,-0.10254041452261688,0.07368963306713981,-0.10254041452261688,0.11020509436105717,0.07368963306713981,0.15640304236992508,-0.1762300475897567,3.3052462834601566,0.07262381442924361,False,1.0,0.39196147635075734,False,False,1.0,0.5534261499243504,False,False,1.0,0.41758693296815075,False,False,False
"Offal, blood and other parts of slaughtered animals",0,0.07539295106215783,0.013644048157207407,0.07539295106215783,0.1326595444439906,0.013644048157207407,0.8446926082381301,0.06174890290495043,0.3491225706419807,0.5561967733811898,False,1.0,0.39196147635075734,False,False,1.0,0.9204648984244287,False,False,1.0,0.8626234801735159,False,False,False
Other food products n.e.c.,0,0.031605759659999,-0.07031301404437615,0.031605759659999,0.48045324214574925,-0.07031301404437615,0.24557528437908166,0.10191877370437515,1.162659690383296,0.2840013100983515,False,1.0,0.7366949712901488,False,False,1.0,0.6112754733553251,False,False,1.0,0.7257811258068982,False,False,False
"Other fruits, fresh",0,0.1901372306628524,0.23649597934296565,0.1901372306628524,0.1654373343281697,0.23649597934296565,0.3001972382990486,-0.04635874868011325,0.027808256441956218,0.8679611733073974,False,1.0,0.4005324936366214,False,False,1.0,0.6589329041301272,False,False,1.0,0.9432260267305058,False,False,False
Other milk and cream,0,-0.01843320360159427,-0.08388966203202168,-0.01843320360159427,0.5471522956837026,-0.08388966203202168,0.21200635949151692,0.06545645843042741,0.8088132722753516,0.3711047742059715,False,1.0,0.8119034064983974,False,False,1.0,0.6112754733553251,False,False,1.0,0.7819341888021643,False,False,False
Other non-alcoholic beverages,0,-0.011310616556609449,0.03369421745024854,-0.011310616556609449,0.680504398304075,0.03369421745024854,0.576040740577542,-0.04500483400685799,0.5229493928965384,0.4715951109938701,False,1.0,0.8943772091996415,False,False,1.0,0.7720134561362625,False,False,1.0,0.8626234801735159,False,False,False
"Other sugar, confectionery and dessert",1,0.05778689846037317,-0.15382765740078796,0.2071962103011717,0.030515050509590108,-0.10559394273307038,0.22292540542106884,0.312790153034242,4.248151925664043,0.04246187122789764,True,1.0,0.21355089477923475,False,False,1.0,0.6112754733553251,False,False,1.0,0.32554101274721525,False,False,False
"Other vegetables, fresh or chilled",0,0.06341636926277718,0.03570392561675015,0.06341636926277718,0.6141945284400392,0.03570392561675015,0.8488124779248074,0.027712443646027027,0.0094691094682472,0.9227211131059296,False,1.0,0.8309690678894648,False,False,1.0,0.9204648984244287,False,False,1.0,0.9432260267305058,False,False,False
Pulses,0,0.09026479504790472,-0.21102250186822216,0.09026479504790472,0.012666633416802972,-0.21102250186822216,0.012208005492450933,0.3012872969161269,9.670753883459401,0.002565630430435926,True,0.5699985037561338,0.21355089477923475,False,False,0.537152241667841,0.1871894175509143,False,False,0.11288773893918073,0.03933966660001753,False,True,False
Ready-made food,0,0.011615948286187817,-0.07322740589502,0.011615948286187817,0.9093119631761358,-0.07322740589502,0.5203388890902811,0.08484335418120781,0.21974154097579163,0.6404512099023089,False,1.0,0.9727523327000522,False,False,1.0,0.7720134561362625,False,False,1.0,0.8626234801735159,False,False,False
"Salt, condiments and sauces",0,0.04553981504916234,0.007187520559647059,0.04553981504916234,0.2418008536538079,0.007187520559647059,0.9169110498555559,0.03835229448951528,0.16590464359734577,0.6848135657741685,False,1.0,0.5192959583458004,False,False,1.0,0.9204648984244287,False,False,1.0,0.8626234801735159,False,False,False
Soft drinks,0,0.05109119820527739,-0.04709592819936309,0.05109119820527739,0.2416073113512651,-0.04709592819936309,0.5650007575188473,0.09818712640464047,1.2383279267553138,0.2689680042433111,False,1.0,0.5192959583458004,False,False,1.0,0.7720134561362625,False,False,1.0,0.7257811258068982,False,False,False
"Spices, culinary herbs and seeds",0,-0.0735691019408671,0.0834234451741149,-0.0735691019408671,0.2596479791729002,0.0834234451741149,0.06412369246452763,-0.156992547114982,2.784255542277636,0.09891839176575298,False,1.0,0.5192959583458004,False,False,1.0,0.42138426476689583,False,False,1.0,0.5055828912471819,False,False,False
"Stone fruits and pome fruits, fresh",0,-0.21355045543015416,0.15998070102224568,-0.21355045543015416,0.02545649507977673,0.15998070102224568,0.002103656684399105,-0.37353115645239987,10.660126054933837,0.0015850564246593373,True,1.0,0.21355089477923475,False,False,0.09676820748235883,0.06028109616573451,False,False,0.07132753910967017,0.03645629776716476,False,True,False
Sugar,0,-0.048019657810821986,-0.034609822001305364,-0.048019657810821986,0.33679948999110176,-0.034609822001305364,0.5339942493407205,-0.013409835809516622,0.025443384243286328,0.8736501374598078,False,1.0,0.6197110615836273,False,False,1.0,0.7720134561362625,False,False,1.0,0.9432260267305058,False,False,False
