SubclassDescription,ARDL_Price_Lag,ARDL_Exchange_Rate_Lag,ARDL_BIC,ARDL_Parameters,NARDL_Price_Lag,NARDL_Component_Lag,NARDL_BIC,NARDL_Parameters,BIC_Difference,Lower_BIC_Model
Baby food,2,1,-559.50617717872,16,2,1,-555.905596733965,18,3.6005804447549963,ARDL
Bread and bakery products,3,1,-643.8069293876067,17,3,1,-644.5365865344481,19,-0.7296571468414186,NARDL
Breakfast cereals,1,1,-517.0088935851462,15,1,1,-512.2218499419962,17,4.787043643150014,ARDL
Cereals,1,1,-499.48888196926833,15,1,2,-495.847915864309,19,3.6409661049593183,ARDL
Cheese,2,1,-579.6784654593112,16,2,1,-577.1420523908329,18,2.536413068478282,ARDL
"Chocolate, cocoa, and cocoa-based food products",1,1,-606.6233856917662,15,1,1,-600.9886560761724,17,5.634729615593756,ARDL
Coffee and coffee substitutes,1,1,-494.256402166183,15,1,1,-489.9953294814321,17,4.2610726847509,ARDL
"Dates, figs and tropical fruits, fresh",1,1,-301.61366068526604,15,2,1,-300.58476459403545,18,1.0288960912305924,ARDL
Eggs,2,1,-453.10033539102574,16,2,1,-444.3540095163335,18,8.746325874692218,ARDL
Fish,1,1,-657.4324873080251,15,1,1,-654.2401946180219,17,3.192292690003228,ARDL
Fish preparations,2,1,-419.3976384420206,16,2,1,-412.74758863360165,18,6.650049808418942,ARDL
Flour of cereals,2,1,-470.39426431355514,16,2,1,-465.71005801431073,18,4.6842062992444085,ARDL
Fruit and nuts ground and other preparations,1,1,-538.4243203116731,15,1,1,-534.4442821949867,17,3.980038116686387,ARDL
Fruit and vegetable juices,1,1,-536.0037741789447,15,1,2,-531.7185989411581,19,4.285175237786575,ARDL
"Fruit-bearing vegetables, fresh or chilled",3,1,-316.3244870958253,17,3,2,-319.15710624076746,21,-2.832619144942157,NARDL
"Ice, ice cream and sorbet",1,1,-449.7420470062653,15,1,1,-444.3410304140234,17,5.401016592241888,ARDL
"Leafy or stem vegetables, fresh or chilled",1,1,-436.51652138650553,15,1,1,-437.5107539315271,17,-0.994232545021589,NARDL
"Macaroni, noodles, couscous and similar pasta products",1,1,-534.1281800570823,15,1,1,-528.580999006718,17,5.5471810503643155,ARDL
Margarine and similar preparations,2,1,-517.477553523651,16,2,1,-517.7682690692232,18,-0.2907155455721977,NARDL
"Meat , dried, salted, in brine or smoked",1,1,-583.7939047189495,15,1,1,-579.1004549954238,17,4.6934497235257595,ARDL
"Meat, fresh, chilled or frozen",3,1,-632.2586594170784,17,2,1,-631.3309576670695,18,0.9277017500089642,ARDL
"Meat, offal, blood and other parts of slaughtered animals preparations",1,1,-567.8560706254374,15,1,1,-564.8703197190246,17,2.985750906412818,ARDL
Milk,1,1,-633.6712542600616,15,1,1,-631.6880095635902,17,1.9832446964713881,ARDL
Milk-based desserts and beverages,3,3,-466.11682068085656,19,4,2,-461.65635030587214,22,4.460470374984425,ARDL
"Nut puree, nut butter and nut pastes",3,5,-483.89760731014513,21,1,1,-477.53927679509036,17,6.358330515054774,ARDL
"Offal, blood and other parts of slaughtered animals",1,1,-500.1907393763228,15,1,1,-495.1361521157103,17,5.05458726061255,ARDL
Other food products n.e.c.,1,1,-579.4038185530253,15,2,1,-577.2242452934589,18,2.179573259566382,ARDL
"Other fruits, fresh",1,1,-329.3699739485039,15,1,1,-321.92948906197574,17,7.440484886528168,ARDL
Other milk and cream,1,1,-579.0425097247992,15,1,1,-577.898345214053,17,1.1441645107461227,ARDL
Other non-alcoholic beverages,1,1,-625.3690957891705,15,1,1,-621.1616518322287,17,4.207443956941802,ARDL
"Other sugar, confectionery and dessert",2,2,-533.5864242703047,17,2,1,-534.8532624124138,18,-1.266838142109009,NARDL
"Other vegetables, fresh or chilled",2,1,-418.30778050804633,16,2,1,-414.69007470057755,18,3.6177058074687807,ARDL
Pulses,3,1,-541.8189507451277,17,3,1,-539.9428938569597,19,1.8760568881680229,ARDL
Ready-made food,1,1,-478.12882735291186,15,1,1,-473.25491506052526,17,4.873912292386592,ARDL
"Salt, condiments and sauces",2,1,-578.884352711915,16,2,1,-575.8387902613347,18,3.0455624505802916,ARDL
Soft drinks,1,1,-572.2737634969318,15,1,1,-566.313370766377,17,5.960392730554759,ARDL
"Spices, culinary herbs and seeds",1,1,-559.7135443278063,15,2,1,-556.951550490089,18,2.761993837717341,ARDL
"Stone fruits and pome fruits, fresh",1,1,-465.5994792865359,15,1,1,-463.2696733567018,17,2.3298059298340945,ARDL
Sugar,2,1,-550.6328932480345,16,2,1,-543.9740027567544,18,6.65889049128009,ARDL
Tea and other plant products for infusion,1,1,-540.1062802655769,15,1,1,-533.7213020417676,17,6.3849782238092985,ARDL
Tubers,2,1,-309.3467296668957,16,2,1,-301.61976467652175,18,7.726964990373972,ARDL
Vegetable oils,2,1,-420.87632495701143,16,2,1,-420.0372868964145,18,0.8390380605969199,ARDL
Vegetables and pulses ground and other preparations,2,1,-660.9779088669885,16,2,1,-660.8930182104806,18,0.08489065650792327,ARDL
"Vegetables, tubers, plantains and cooking bananas, frozen",1,1,-545.6956077608203,15,1,1,-537.8331682737595,17,7.862439487060783,ARDL
Water,1,2,-612.98664972493,16,1,1,-607.0921915743751,17,5.894458150554897,ARDL
Yoghurt and similar products,2,1,-590.0408169188154,16,2,1,-590.0087862482451,18,0.032030670570293296,ARDL
