SubclassDescription,Model,Effect,Long_Run_Multiplier,Standard_Error,P_Value,Lower_95pct,Upper_95pct,Unit
"Other vegetables, fresh or chilled",ARDL,Symmetric exchange-rate effect,1.4041188012617192,0.2585525632608206,5.613659870284948e-08,0.8898681518747527,1.9183694506486857,Elasticity
Yoghurt and similar products,ARDL,Symmetric exchange-rate effect,1.2839474226224548,0.1733393868610836,1.290079154614432e-13,0.9391823538355365,1.628712491409373,Elasticity
Cereals,NARDL,Appreciation component,1.413602973871743,0.5860104756084354,0.015854465272172824,0.247404961891475,2.5798009858520112,Percent CPI response
Cereals,NARDL,Depreciation,1.3309428603673583,0.4275249917336637,0.0018511154961717846,0.4801410126460848,2.181744708088632,Percent CPI response
"Chocolate, cocoa, and cocoa-based food products",NARDL,Appreciation component,0.4652733730883682,0.671379032848311,0.4883023509834943,-0.8703133958291809,1.8008601420059174,Percent CPI response
"Chocolate, cocoa, and cocoa-based food products",NARDL,Depreciation,0.9573835416960006,0.5547098433379037,0.08436221839932267,-0.1461110434824121,2.060878126874413,Percent CPI response
"Dates, figs and tropical fruits, fresh",NARDL,Appreciation component,0.030170458831295398,0.3104936948635137,0.9225919378598284,-0.5876145993582385,0.6479555170208292,Percent CPI response
"Dates, figs and tropical fruits, fresh",NARDL,Depreciation,0.3135117595139895,0.22983519222611867,0.172544893629498,-0.14378817910740707,0.7708116981353861,Percent CPI response
"Fruit-bearing vegetables, fresh or chilled",NARDL,Appreciation component,-0.039340317846385475,0.18832791154769427,0.8345320365118569,-0.4142723885265399,0.33559175283376896,Percent CPI response
"Fruit-bearing vegetables, fresh or chilled",NARDL,Depreciation,0.2589918881318799,0.1385613949888075,0.06160209218936563,-0.016862658932046422,0.5348464351958062,Percent CPI response
"Other vegetables, fresh or chilled",NARDL,Appreciation component,0.40319004575064665,0.3839896863024831,0.29371706492564975,-0.3608289814339103,1.1672090729352036,Percent CPI response
"Other vegetables, fresh or chilled",NARDL,Depreciation,0.7085448092691542,0.2838091482186728,0.012540664169751636,0.14385362858650805,1.2732359899518004,Percent CPI response
Yoghurt and similar products,NARDL,Appreciation component,0.26790320062930856,0.1666800003032158,0.10799063150859656,-0.0637377163677923,0.5995441176264095,Percent CPI response
Yoghurt and similar products,NARDL,Depreciation,0.5314218660812948,0.12452289967194888,1.975307591339792e-05,0.2836603556468222,0.7791833765157675,Percent CPI response
