SubclassDescription,Model,Effect,Long_Run_Multiplier,Conventional_Standard_Error,Conventional_P_Value,HAC_Long_Run_Multiplier,HAC_Standard_Error,HAC_P_Value,HAC_Lower_95pct,HAC_Upper_95pct,Multiplier_Difference,Conventional_Significant,HAC_Significant,Inference_Changed
"Other vegetables, fresh or chilled",ARDL,Symmetric exchange-rate effect,1.4041188012617192,0.2585525632608206,5.613659870284948e-08,1.4041188012617192,0.22611575294488045,2.0083297920865538e-08,0.9543836629903284,1.85385393953311,0.0,True,True,False
Yoghurt and similar products,ARDL,Symmetric exchange-rate effect,1.2839474226224548,0.1733393868610836,1.2900791546144322e-13,1.2839474226224548,0.16788298720855185,3.255138365339869e-11,0.9500349132889838,1.6178599319559257,0.0,True,True,False
Cereals,NARDL,Appreciation component,1.413602973871743,0.5860104756084354,0.0158544652721728,1.413602973871743,0.5767714858504067,0.016430907614267735,0.26579113745827243,2.5614148102852137,0.0,True,True,False
Cereals,NARDL,Depreciation,1.3309428603673583,0.4275249917336637,0.0018511154961717,1.3309428603673583,0.4500455121901773,0.004077872761363791,0.43532374865796464,2.2265619720767518,0.0,True,True,False
"Chocolate, cocoa, and cocoa-based food products",NARDL,Appreciation component,0.4652733730883682,0.671379032848311,0.4883023509834943,0.4652733730883682,0.6824789857613168,0.4973242823211793,-0.8923947381423656,1.822941484319102,0.0,False,False,False
"Chocolate, cocoa, and cocoa-based food products",NARDL,Depreciation,0.9573835416960006,0.5547098433379037,0.0843622183993226,0.9573835416960006,0.5110999117422259,0.06460624674772396,-0.05935699728367361,1.9741240806756748,0.0,False,False,False
"Dates, figs and tropical fruits, fresh",NARDL,Appreciation component,0.0301704588312953,0.3104936948635137,0.9225919378598284,0.030170458831295398,0.26976876219573187,0.9112283625199842,-0.5065847578054498,0.5669256754680406,9.71445146547012e-17,False,False,False
"Dates, figs and tropical fruits, fresh",NARDL,Depreciation,0.3135117595139895,0.2298351922261186,0.172544893629498,0.3135117595139896,0.18937065233573785,0.10168343573747592,-0.06327643750253997,0.6902999565305191,5.551115123125783e-17,False,False,False
"Fruit-bearing vegetables, fresh or chilled",NARDL,Appreciation component,-0.0393403178463854,0.1883279115476942,0.8345320365118569,-0.03934031784638548,0.19305326581702803,0.8390564591769771,-0.42367984622273985,0.3449992105299689,8.326672684688674e-17,False,False,False
"Fruit-bearing vegetables, fresh or chilled",NARDL,Depreciation,0.2589918881318799,0.1385613949888075,0.0616020921893656,0.2589918881318799,0.14152931739916788,0.07107761256761042,-0.02277133856317287,0.5407551148269327,0.0,False,False,False
"Other vegetables, fresh or chilled",NARDL,Appreciation component,0.4031900457506466,0.3839896863024831,0.2937170649256497,0.40319004575064665,0.41442018710329503,0.3334986962019494,-0.42137613269323004,1.2277562241945232,5.551115123125783e-17,False,False,False
"Other vegetables, fresh or chilled",NARDL,Depreciation,0.7085448092691542,0.2838091482186728,0.0125406641697516,0.7085448092691542,0.3009661941238135,0.020982817999377415,0.10971648899812736,1.307373129540181,0.0,True,True,False
Yoghurt and similar products,NARDL,Appreciation component,0.2679032006293085,0.1666800003032158,0.1079906315085965,0.26790320062930856,0.11474732921989937,0.022034392090188638,0.03959200902726817,0.49621439223134894,5.551115123125783e-17,False,True,True
Yoghurt and similar products,NARDL,Depreciation,0.5314218660812948,0.1245228996719488,1.975307591339792e-05,0.5314218660812948,0.08343006504170322,1.077826637239869e-08,0.3654222067026981,0.6974215254598916,0.0,True,True,False
