SubclassDescription,Shock_Lag,Immediate_Depreciation,Immediate_Appreciation_Component,Depreciation_Distributed_Lag_Sum,Depreciation_Sum_P_Value,Appreciation_Distributed_Lag_Sum,Appreciation_Sum_P_Value,Asymmetry_F_Statistic,Asymmetry_P_Value,Multiplier_Difference,Raw_Short_Run_Asymmetry,Asymmetry_Holm_P_Value,Asymmetry_FDR_P_Value,Depreciation_Holm_P_Value,Depreciation_FDR_P_Value,Appreciation_Holm_P_Value,Appreciation_FDR_P_Value,Final_Short_Run_Asymmetry
Pulses,0,0.09026479504790472,-0.21102250186822216,0.09026479504790472,0.12351488533164719,-0.21102250186822216,0.015662802587085863,6.218134346510078,0.014630447301589408,0.3012872969161269,True,0.6730005758731128,0.5053957449849035,1.0,0.5546239966613122,0.7048261164188638,0.36024445950297485,False
Bread and bakery products,0,0.07343192161901961,-0.08903645121449966,0.07343192161901961,0.03105729375656127,-0.08903645121449966,0.06987555694989149,5.425052720666852,0.02228074138683167,0.16246837283351928,True,1.0,0.5053957449849035,1.0,0.2857271025603637,1.0,0.8425978906914688,False
"Stone fruits and pome fruits, fresh",0,-0.21355045543015416,0.15998070102224568,-0.21355045543015416,0.012359884587171702,0.15998070102224568,0.18947178567720016,4.629238169965851,0.034302586901008306,-0.37353115645239987,True,1.0,0.5053957449849035,0.5438349218355549,0.18951823033663276,1.0,0.8425978906914688,False
Vegetables and pulses ground and other preparations,0,0.0005176724312297215,0.13055573460519626,0.0005176724312297215,0.9869008379426635,0.13055573460519626,0.0048697851074985905,4.003584299962095,0.04863281814862103,-0.13003806217396655,True,1.0,0.5053957449849035,1.0,0.9957102301069938,0.22401011494493517,0.22401011494493517,False
"Other sugar, confectionery and dessert",1,0.05778689846037317,-0.15382765740078796,0.2071962103011717,0.010067373633397792,-0.10559394273307038,0.34383849383386195,3.791571647341881,0.05493432010705473,0.31279015303424207,False,1.0,0.5053957449849035,0.4530318135029006,0.18951823033663276,1.0,0.8425978906914688,False
"Dates, figs and tropical fruits, fresh",0,-0.17469078104497363,0.4285972167008256,-0.17469078104497363,0.3930286983714971,0.4285972167008256,0.14444194290009482,2.0482300060614205,0.15609324530028837,-0.6032879977457992,False,1.0,0.8996182763603038,1.0,0.7270600996924312,1.0,0.8425978906914688,False
"Spices, culinary herbs and seeds",0,-0.0735691019408671,0.0834234451741149,-0.0735691019408671,0.16877590169456083,0.0834234451741149,0.2810772579905388,2.009189543148692,0.16004751178786464,-0.156992547114982,False,1.0,0.8996182763603038,1.0,0.5972070367653691,1.0,0.8425978906914688,False
"Leafy or stem vegetables, fresh or chilled",0,0.17541184861338888,-0.10644795661871802,0.17541184861338888,0.09341173858857738,-0.10644795661871802,0.47768099301673667,1.7275346138623031,0.19230374468120331,0.2818598052321069,False,1.0,0.8996182763603038,1.0,0.4774377750082843,1.0,0.8425978906914688,False
Yoghurt and similar products,1,-0.062141573957094264,0.02047531005035036,0.10921085867638552,0.07777104279754944,-0.053857441398518086,0.5371551818928328,1.7085817921186137,0.19482307793349998,0.1630683000749036,False,1.0,0.8996182763603038,1.0,0.4774377750082843,1.0,0.8425978906914688,False
Tea and other plant products for infusion,0,-0.07790849835787167,0.07791390000675079,-0.07790849835787167,0.1955893958326494,0.07791390000675079,0.3687588429558539,1.58307418107165,0.21180456386231997,-0.15582239836462247,False,1.0,0.8996182763603038,1.0,0.6053787738845884,1.0,0.8425978906914688,False
