SubclassDescription,Symmetric_Price_Lag,Symmetric_Exchange_Rate_Lag,Symmetric_BIC,Symmetric_Parameters,Asymmetric_Price_Lag,Asymmetric_Shock_Lag,Asymmetric_BIC,Asymmetric_Parameters,BIC_Difference,Lower_BIC_Model
Pulses,2,0,370.5470481302127,15,2,0,367.9900405937709,16,-2.5570075364418017,Asymmetric
Bread and bakery products,2,0,260.1382791423216,15,2,0,258.46524136459107,16,-1.673037777730542,Asymmetric
"Stone fruits and pome fruits, fresh",1,0,438.4758723017667,14,1,0,437.7601365334072,15,-0.7157357683594796,Asymmetric
Vegetables and pulses ground and other preparations,1,0,242.80931486307853,14,1,0,242.79492091001913,15,-0.014393953059396836,Asymmetric
Milk-based desserts and beverages,3,1,437.7933779082966,17,3,1,439.1329196611199,19,1.3395417528233224,Symmetric
"Dates, figs and tropical fruits, fresh",1,0,607.9566534320752,14,1,0,610.1667490127716,15,2.210095580696361,Symmetric
"Spices, culinary herbs and seeds",1,0,343.6401153513402,14,1,0,345.89513786288126,15,2.2550225115410285,Symmetric
Yoghurt and similar products,1,1,328.9194452329544,15,1,1,331.3688578215624,17,2.449412588608027,Symmetric
"Leafy or stem vegetables, fresh or chilled",1,0,477.02525293203854,14,1,0,479.60500346126173,15,2.5797505292231904,Symmetric
Tea and other plant products for infusion,1,0,368.19654200788705,14,1,0,370.94325926890605,15,2.7467172610190005,Symmetric
Fruit and vegetable juices,1,0,368.07356918458544,14,1,1,371.19212824484765,17,3.118559060262214,Symmetric
Baby food,1,0,344.647073923309,14,1,0,347.8413073959773,15,3.1942334726683157,Symmetric
Other food products n.e.c.,1,0,324.75721107126117,14,1,0,328.1295660055661,15,3.3723549343049513,Symmetric
Soft drinks,1,0,336.0665368280238,14,1,0,339.67051033707384,15,3.6039735090500358,Symmetric
Flour of cereals,1,0,434.5848893032041,14,1,0,438.21011998960006,15,3.6252306863959802,Symmetric
"Meat, fresh, chilled or frozen",2,0,270.4363222587344,15,2,0,274.1366689392245,16,3.7003466804900995,Symmetric
"Ice, ice cream and sorbet",1,0,458.36575689043474,14,1,0,462.1985290123951,15,3.8327721219603745,Symmetric
Fish preparations,1,0,483.6954359021475,14,1,0,487.5676757804626,15,3.8722398783150993,Symmetric
Fish,1,0,250.62755316767968,14,1,0,254.70486965475476,15,4.07731648707508,Symmetric
Other milk and cream,3,0,331.4572376990079,16,3,0,335.54810427028383,17,4.09086657127591,Symmetric
Cheese,1,0,330.8069979268191,14,1,0,334.9487590208609,15,4.141761094041783,Symmetric
"Fruit-bearing vegetables, fresh or chilled",5,0,589.1419673392603,18,5,0,593.3232363611544,19,4.181269021894082,Symmetric
"Meat , dried, salted, in brine or smoked",1,0,325.8205212577925,14,1,0,330.04559839395307,15,4.225077136160564,Symmetric
Other non-alcoholic beverages,1,0,281.4905875052764,14,1,0,285.718237851744,15,4.2276503464676125,Symmetric
Ready-made food,1,0,427.8405167233457,14,1,0,432.14829883396106,15,4.307782110615392,Symmetric
Fruit and nuts ground and other preparations,1,0,369.56357297190857,14,1,0,373.89401130011777,15,4.330438328209198,Symmetric
"Other sugar, confectionery and dessert",1,1,375.22757372379476,15,1,1,379.56545496478736,17,4.337881240992601,Symmetric
Margarine and similar preparations,1,0,386.06982141919354,14,1,0,390.43602078845913,15,4.366199369265587,Symmetric
"Meat, offal, blood and other parts of slaughtered animals preparations",1,0,342.21190029603787,14,1,0,346.60362625777213,15,4.3917259617342665,Symmetric
"Chocolate, cocoa, and cocoa-based food products",1,0,311.93168993657974,14,1,0,316.3328783284903,15,4.40118839191058,Symmetric
"Macaroni, noodles, couscous and similar pasta products",3,0,379.335844942035,16,3,0,383.74655548351035,17,4.410710541475339,Symmetric
"Offal, blood and other parts of slaughtered animals",1,0,409.7818878210403,14,1,0,414.19766064050583,15,4.415772819465531,Symmetric
"Salt, condiments and sauces",1,0,323.78530918689387,14,1,0,328.20667029834965,15,4.421361111455781,Symmetric
Coffee and coffee substitutes,3,0,418.8521864880522,16,3,0,423.28704242322783,17,4.434855935175619,Symmetric
Cereals,3,0,416.6811526503394,16,3,0,421.1243575044439,17,4.443204854104465,Symmetric
"Nut puree, nut butter and nut pastes",1,1,427.37168818443894,15,1,0,431.8666473295763,15,4.494959145137386,Symmetric
Vegetable oils,1,0,483.36264810530616,14,1,0,487.8979792994693,15,4.5353311941631205,Symmetric
Eggs,2,0,454.5215768620711,15,2,0,459.06141541917486,16,4.539838557103792,Symmetric
Milk,5,1,273.95365380696165,19,1,1,278.51619688659775,17,4.5625430796361,Symmetric
"Other fruits, fresh",1,0,583.2690050815913,14,1,0,587.8459104384744,15,4.576905356883117,Symmetric
"Other vegetables, fresh or chilled",4,0,494.93141137075565,17,4,0,499.5087230364698,18,4.577311665714149,Symmetric
Breakfast cereals,1,0,390.3874839691587,14,1,0,394.96553626800807,15,4.578052298849343,Symmetric
Sugar,1,0,360.8695598349876,14,1,0,365.4500726871805,15,4.580512852192896,Symmetric
"Vegetables, tubers, plantains and cooking bananas, frozen",1,0,369.8534947208854,14,1,0,374.44357574401397,15,4.590081023128562,Symmetric
Tubers,1,0,598.6196530017991,14,1,0,603.2146969617294,15,4.595043959930308,Symmetric
Water,1,1,295.0203120255788,15,1,0,300.20596592442996,15,5.185653898851172,Symmetric
