Model,Representation,N_Estimators,max_depth,max_features,min_samples_leaf,MAE,RMSE,R2,Directional_Accuracy_Pct
Random Forest,Symmetric,300,,sqrt,1,1.0591132080681305,1.7594458183378032,0.14135562050544892,64.85507246376811
Random Forest,Symmetric,300,,sqrt,3,1.063628971368809,1.797580220141516,0.10373157255384258,64.4927536231884
Random Forest,Symmetric,300,,sqrt,6,1.07700847747718,1.8199566247098644,0.08127906736934754,63.76811594202898
Random Forest,Symmetric,300,,0.7,1,1.0984514343286507,1.8631229920630756,0.037181143225357816,64.13043478260869
Random Forest,Symmetric,300,,0.7,3,1.0941143587548159,1.8546974765326583,0.04586967581093071,63.76811594202898
Random Forest,Symmetric,300,,0.7,6,1.0951366122201402,1.8547214381112371,0.04584502206905483,63.76811594202898
Random Forest,Symmetric,300,8.0,sqrt,1,1.0898289109082389,1.8161842112339284,0.0850837770230497,63.58695652173913
Random Forest,Symmetric,300,8.0,sqrt,3,1.093485993776041,1.8279200835053138,0.07322150964521368,63.22463768115942
Random Forest,Symmetric,300,8.0,sqrt,6,1.0947394310136431,1.837382127213525,0.06360192599919512,63.04347826086957
Random Forest,Symmetric,300,8.0,0.7,1,1.1053748085553856,1.8639750468526022,0.03630029745062657,63.04347826086957
Random Forest,Symmetric,300,8.0,0.7,3,1.1017764139871715,1.8572129017270906,0.04327985077396268,63.40579710144928
Random Forest,Symmetric,300,8.0,0.7,6,1.1026828438154452,1.8597115156113575,0.04070385933399001,62.86231884057971
Random Forest,Symmetric,300,16.0,sqrt,1,1.0610055028384713,1.769358373796723,0.1316533198708315,64.13043478260869
Random Forest,Symmetric,300,16.0,sqrt,3,1.0682576500395193,1.7987034094474452,0.10261118459523755,63.949275362318836
Random Forest,Symmetric,300,16.0,sqrt,6,1.0778069236645937,1.8232531105056065,0.07794789642943345,63.58695652173913
Random Forest,Symmetric,300,16.0,0.7,1,1.089078106678057,1.844913352095382,0.05590981066699596,64.13043478260869
Random Forest,Symmetric,300,16.0,0.7,3,1.087560552293388,1.847427258489283,0.053335195068190844,63.40579710144928
Random Forest,Symmetric,300,16.0,0.7,6,1.087533322023832,1.8463372933299707,0.05445191267054372,63.40579710144928
Random Forest,Asymmetric,300,,sqrt,1,1.0776411994638717,1.8033255490815159,0.09799320725045757,64.13043478260869
Random Forest,Asymmetric,300,,sqrt,3,1.0794972948749757,1.8109504183678133,0.09034930280180808,63.58695652173913
Random Forest,Asymmetric,300,,sqrt,6,1.0934410242361798,1.8472064095624967,0.05356151781914498,63.22463768115942
Random Forest,Asymmetric,300,,0.7,1,1.1036166720454028,1.8568279951904565,0.04367636931981722,63.40579710144928
Random Forest,Asymmetric,300,,0.7,3,1.1019477213747,1.8639741744972176,0.036301199488912195,64.31159420289855
Random Forest,Asymmetric,300,,0.7,6,1.095010984117654,1.8451759217440191,0.055641064095314,63.58695652173913
Random Forest,Asymmetric,300,8.0,sqrt,1,1.101256330189874,1.8399550387080992,0.060977587600642535,63.22463768115942
Random Forest,Asymmetric,300,8.0,sqrt,3,1.104698744998375,1.8489532545232314,0.051770637262731345,63.22463768115942
Random Forest,Asymmetric,300,8.0,sqrt,6,1.1044309478977297,1.8525019961630402,0.04812722410518522,63.22463768115942
Random Forest,Asymmetric,300,8.0,0.7,1,1.1054357715894774,1.860528285772908,0.03986104418121872,63.22463768115942
Random Forest,Asymmetric,300,8.0,0.7,3,1.0993585366340168,1.856083934597462,0.044442644023036104,63.22463768115942
Random Forest,Asymmetric,300,8.0,0.7,6,1.0995759856516545,1.8546589140231668,0.045909351583012015,62.68115942028986
Random Forest,Asymmetric,300,16.0,sqrt,1,1.0773493963142866,1.796596254817787,0.1047125086763464,63.949275362318836
Random Forest,Asymmetric,300,16.0,sqrt,3,1.0838864057914799,1.8206469782725643,0.08058194904018379,63.58695652173913
Random Forest,Asymmetric,300,16.0,sqrt,6,1.0928772878054245,1.8460903922608416,0.05470478220314179,63.40579710144928
Random Forest,Asymmetric,300,16.0,0.7,1,1.0891909583171688,1.851843315371889,0.04880400485787917,63.76811594202898
Random Forest,Asymmetric,300,16.0,0.7,3,1.0895440598379933,1.8497147631156035,0.05098940225403814,63.58695652173913
Random Forest,Asymmetric,300,16.0,0.7,6,1.0841172606160763,1.8379418092910773,0.06303136962760947,63.40579710144928
