Model,Representation,Alpha,MAE,RMSE,R2,Directional_Accuracy_Pct
Ridge,Symmetric,0.001,1.120661654957045,1.875962324484238,0.023865279108334803,62.86231884057971
Ridge,Symmetric,0.01,1.120659677237939,1.87596054767481,0.023867128190835918,62.86231884057971
Ridge,Symmetric,0.1,1.1206399268204545,1.8759428123663062,0.023885584800501847,62.86231884057971
Ridge,Symmetric,1.0,1.1204450641629997,1.8757686830754894,0.024066786723340616,62.86231884057971
Ridge,Symmetric,10.0,1.1187290340029663,1.874302683996071,0.025591663558801825,62.86231884057971
Ridge,Symmetric,100.0,1.113335556222785,1.869567729868008,0.030508639924260117,63.76811594202898
Ridge,Symmetric,1000.0,1.1127125047525337,1.8714257093687072,0.02858071818134089,62.86231884057971
Ridge,Asymmetric,0.001,1.125376471857009,1.879770156497433,0.019898536989697235,62.86231884057971
Ridge,Asymmetric,0.01,1.125374597696065,1.8797683554726374,0.01990041507695739,62.86231884057971
Ridge,Asymmetric,0.1,1.125355881188115,1.8797503781557443,0.019919161510815186,62.86231884057971
Ridge,Asymmetric,1.0,1.125171770562156,1.8795738431170972,0.0201032396589228,62.86231884057971
Ridge,Asymmetric,10.0,1.1235900569396249,1.8780850514948526,0.021654957690937504,63.04347826086957
Ridge,Asymmetric,100.0,1.118286777400566,1.8731794340124561,0.02675921903940126,63.58695652173913
Ridge,Asymmetric,1000.0,1.1166819582978376,1.8741674674786777,0.025732250615847496,62.68115942028986
