Model,Representation,N_Estimators,Min_Child_Weight,Reg_Lambda,colsample_bytree,learning_rate,max_depth,subsample,MAE,RMSE,R2,Directional_Accuracy_Pct
XGBoost,Asymmetric,300,3,0.5,1.0,0.08,4,0.8,1.0589288072545626,1.7282671419631175,0.17151760733956534,63.40579710144928
XGBoost,Asymmetric,300,3,1.0,1.0,0.08,4,0.7,1.0631324094766976,1.7488665771054288,0.15165033519053517,63.76811594202898
XGBoost,Asymmetric,300,3,5.0,1.0,0.08,4,0.8,1.0595444235822278,1.760537714053513,0.14028955637666807,63.76811594202898
XGBoost,Asymmetric,300,5,1.0,1.0,0.08,4,0.8,1.0646307100917702,1.762108692535388,0.1387545830779492,63.40579710144928
XGBoost,Asymmetric,300,3,1.0,1.0,0.08,5,0.8,1.0854476470399985,1.7631361806835444,0.13774990333122927,62.86231884057971
XGBoost,Asymmetric,300,3,1.0,0.9,0.08,4,0.8,1.0655620593600517,1.7648456722225594,0.13607706167365086,64.4927536231884
XGBoost,Asymmetric,300,3,1.0,1.0,0.08,4,0.8,1.0739550342292208,1.7672782765575237,0.13369381525880386,63.40579710144928
XGBoost,Asymmetric,450,3,1.0,1.0,0.05,4,0.8,1.0648912233202095,1.7701749872982684,0.13085159731408558,63.40579710144928
XGBoost,Asymmetric,300,3,1.0,1.0,0.03,6,0.8,1.0635227552692144,1.7711984277449486,0.12984629695927596,64.67391304347827
XGBoost,Asymmetric,300,3,1.0,0.8,0.08,4,0.8,1.0685242131871342,1.7722096337233257,0.12885244354481606,63.949275362318836
XGBoost,Asymmetric,300,3,1.0,0.8,0.03,6,0.8,1.0661562061759398,1.7728206130094784,0.12825167391724968,63.76811594202898
XGBoost,Asymmetric,200,3,1.0,1.0,0.12,4,0.8,1.0650546617795,1.780519123254876,0.12066406459738421,63.949275362318836
XGBoost,Asymmetric,300,1,1.0,1.0,0.08,4,0.8,1.0813716133099358,1.7812588093093478,0.11993330284860948,64.13043478260869
XGBoost,Asymmetric,300,3,1.0,0.8,0.08,6,1.0,1.0995874115345388,1.7831496582413255,0.11806388736281737,63.04347826086957
XGBoost,Asymmetric,300,3,1.0,1.0,0.08,4,0.9,1.0667037526177159,1.7850154791923354,0.11621727198558018,63.76811594202898
XGBoost,Asymmetric,300,3,1.0,0.8,0.03,6,1.0,1.06137384163707,1.7861081493315325,0.11513495245188843,64.4927536231884
XGBoost,Asymmetric,300,3,1.0,1.0,0.08,6,1.0,1.102530729875207,1.7887336607187498,0.11253160417816366,63.04347826086957
XGBoost,Asymmetric,300,3,1.0,1.0,0.03,6,1.0,1.0800987926075016,1.7949439402008538,0.10635852831589476,63.22463768115942
XGBoost,Asymmetric,300,3,1.0,0.8,0.03,4,0.8,1.0720026943937646,1.7985885031279027,0.10272583646254818,63.76811594202898
XGBoost,Asymmetric,300,3,1.0,0.8,0.08,4,1.0,1.0800246628336199,1.7997939567019008,0.101522687650072,63.40579710144928
XGBoost,Asymmetric,300,3,1.0,1.0,0.03,4,0.8,1.068763694475227,1.8008201430330693,0.10049782812919428,63.40579710144928
XGBoost,Asymmetric,300,3,1.0,1.0,0.08,3,0.8,1.0695287603581491,1.801678181275439,0.09964045085321871,63.949275362318836
XGBoost,Asymmetric,300,3,1.0,0.8,0.08,6,0.8,1.11146192024661,1.8100568132236983,0.0912468072072321,61.23188405797102
XGBoost,Asymmetric,300,3,1.0,1.0,0.08,4,1.0,1.0865673128166307,1.8104858955798915,0.09081590782809146,63.949275362318836
XGBoost,Asymmetric,300,3,1.0,1.0,0.08,6,0.8,1.1086930506091182,1.8106817916869762,0.09061914820648453,62.86231884057971
XGBoost,Asymmetric,300,3,1.0,0.8,0.03,4,1.0,1.0805668746882227,1.827177858056085,0.07397399213203437,63.40579710144928
XGBoost,Asymmetric,300,3,1.0,1.0,0.08,2,0.8,1.086897738030057,1.8390166936273262,0.06193511358702508,63.76811594202898
XGBoost,Asymmetric,300,3,1.0,1.0,0.03,4,1.0,1.088745443829262,1.8565082234171246,0.04400572558983984,63.04347826086957
XGBoost,Asymmetric,300,3,1.0,0.8,0.08,2,0.8,1.0951630140469475,1.863296110914886,0.037002207277883614,63.40579710144928
XGBoost,Asymmetric,300,3,1.0,0.8,0.08,2,1.0,1.0975779383839939,1.8639749430427444,0.03630040479275687,63.04347826086957
XGBoost,Asymmetric,300,3,1.0,1.0,0.03,2,0.8,1.103339961444691,1.865988573641937,0.034217133052056314,62.86231884057971
XGBoost,Asymmetric,300,3,1.0,0.8,0.03,2,0.8,1.1025576366637937,1.8673436080382044,0.0328139688698742,62.86231884057971
XGBoost,Asymmetric,300,3,1.0,1.0,0.08,2,1.0,1.1032116545482622,1.8675948982611343,0.03255364104837455,62.31884057971014
XGBoost,Asymmetric,300,3,1.0,0.8,0.03,2,1.0,1.1112489731110202,1.881108243295985,0.018502698677834606,62.68115942028986
XGBoost,Asymmetric,300,3,1.0,1.0,0.03,2,1.0,1.1125703083967566,1.884527020909136,0.014931856626658413,61.95652173913043
XGBoost,Symmetric,300,3,0.5,1.0,0.08,4,0.8,1.0466773395589861,1.7220696130178172,0.17744879390563284,63.949275362318836
XGBoost,Symmetric,300,3,1.0,1.0,0.08,4,0.7,1.051722661572948,1.73660743666927,0.16350211040911866,63.76811594202898
XGBoost,Symmetric,450,3,1.0,1.0,0.05,4,0.8,1.0575931929932945,1.7491750036665803,0.1513510823538201,63.949275362318836
XGBoost,Symmetric,300,3,1.0,1.0,0.08,5,0.8,1.0703908176807726,1.7510504219693457,0.1495303097843651,61.95652173913043
XGBoost,Symmetric,300,5,1.0,1.0,0.08,4,0.8,1.0666828375364534,1.7521021887543997,0.1485083353173149,63.04347826086957
XGBoost,Symmetric,300,1,1.0,1.0,0.08,4,0.8,1.0631380595388873,1.7527418246768636,0.14788651762198513,63.22463768115942
XGBoost,Symmetric,200,3,1.0,1.0,0.12,4,0.8,1.0681831427833064,1.7529224731617215,0.1477108603289392,63.76811594202898
XGBoost,Symmetric,300,3,1.0,1.0,0.08,4,0.8,1.0624927662514,1.7578725066162417,0.14289054843873306,64.31159420289855
XGBoost,Symmetric,300,3,1.0,0.9,0.08,4,0.8,1.0578494828917462,1.7677997143571023,0.13318253026455606,63.949275362318836
XGBoost,Symmetric,300,3,5.0,1.0,0.08,4,0.8,1.0633653464350232,1.777279405519179,0.12386111925613918,63.40579710144928
XGBoost,Symmetric,300,3,1.0,0.8,0.08,4,0.8,1.0630076795497916,1.7774685790968556,0.12367459692667104,62.86231884057971
XGBoost,Symmetric,300,3,1.0,0.8,0.03,6,0.8,1.0595658030231152,1.7804104673847028,0.12077138396809939,63.04347826086957
XGBoost,Symmetric,300,3,1.0,1.0,0.08,4,0.9,1.0703294951897764,1.7830506543443119,0.11816181822096294,63.76811594202898
XGBoost,Symmetric,300,3,1.0,0.8,0.08,6,0.8,1.0904400243745196,1.7841054935276852,0.11711813209333011,62.13768115942029
XGBoost,Symmetric,300,3,1.0,1.0,0.03,6,0.8,1.0658025945324532,1.7897223526480717,0.1115502670984776,64.31159420289855
XGBoost,Symmetric,300,3,1.0,1.0,0.08,6,1.0,1.0943354913546468,1.7929064014128164,0.10838621916365943,63.04347826086957
XGBoost,Symmetric,300,3,1.0,0.8,0.08,4,1.0,1.0670885446349219,1.7938372112623273,0.10746019388877892,62.5
XGBoost,Symmetric,300,3,1.0,1.0,0.03,6,1.0,1.0781326042826564,1.7978923700656195,0.10342027138406029,62.86231884057971
XGBoost,Symmetric,300,3,1.0,0.8,0.03,6,1.0,1.075977502493627,1.8014872684382415,0.0998312519526986,63.40579710144928
XGBoost,Symmetric,300,3,1.0,1.0,0.08,3,0.8,1.074171421568107,1.8029698229399027,0.09834903401608519,63.58695652173913
XGBoost,Symmetric,300,3,1.0,0.8,0.08,6,1.0,1.087597609362883,1.8039003005046004,0.09741814491150569,62.31884057971014
XGBoost,Symmetric,300,3,1.0,1.0,0.08,4,1.0,1.0852423841541197,1.8078418894412958,0.09346948610302963,63.22463768115942
XGBoost,Symmetric,300,3,1.0,1.0,0.03,4,0.8,1.0731227476136243,1.8111029930517706,0.09019601808144884,63.40579710144928
XGBoost,Symmetric,300,3,1.0,0.8,0.03,4,0.8,1.0721439575082548,1.8112694574552115,0.09002876427223871,63.58695652173913
XGBoost,Symmetric,300,3,1.0,1.0,0.08,6,0.8,1.1052868349641978,1.8235497475553815,0.07764784257061497,63.04347826086957
XGBoost,Symmetric,300,3,1.0,0.8,0.03,4,1.0,1.077568077386798,1.8241310741264334,0.07705967843312744,64.13043478260869
XGBoost,Symmetric,300,3,1.0,1.0,0.08,2,0.8,1.0858026720019496,1.8311541581313653,0.06993917546711748,62.68115942028986
XGBoost,Symmetric,300,3,1.0,1.0,0.03,4,1.0,1.0843548748076317,1.8513936155716268,0.049265923755617336,63.04347826086957
XGBoost,Symmetric,300,3,1.0,0.8,0.08,2,0.8,1.0923612110527097,1.8524513999787766,0.04817921916135015,63.22463768115942
XGBoost,Symmetric,300,3,1.0,1.0,0.03,2,0.8,1.1013079922025828,1.8592736852714322,0.04115549875295532,62.86231884057971
XGBoost,Symmetric,300,3,1.0,0.8,0.03,2,0.8,1.1014663248145478,1.865704516491258,0.03451115055270115,62.68115942028986
XGBoost,Symmetric,300,3,1.0,1.0,0.08,2,1.0,1.1009409212394627,1.8682239101649545,0.031901853281162906,62.31884057971014
XGBoost,Symmetric,300,3,1.0,0.8,0.08,2,1.0,1.1019523619469878,1.8706151071885686,0.02942207036146527,62.68115942028986
XGBoost,Symmetric,300,3,1.0,0.8,0.03,2,1.0,1.110705182593143,1.876555024108487,0.02324837324592277,62.68115942028986
XGBoost,Symmetric,300,3,1.0,1.0,0.03,2,1.0,1.112570308720695,1.8841724901208425,0.015302457982893425,61.95652173913043
